,type_pre,weight,out_to_ovis_weight,out_to_ovis_rank
0,FS1A,892,1589,0
1,IB017,370,562,0
2,SMP052,361,614,0
3,SMP176,299,544,2
4,FC2B,290,435,7
5,SMP383,281,543,1
6,SMP544,259,358,0
7,LAL134,247,358,0
8,SMP550,234,445,0
9,CRE075,225,225,4
10,SMP566,203,242,0
11,LAL022,164,201,2
12,SMP237,163,337,0
13,FC2C,161,287,12
14,SMP551,159,293,0
15,SMP051,157,273,0
16,SMP386,156,296,0
17,pC1e,148,186,0
18,SMP112,140,140,0
19,pC1d,140,223,3
20,SMP153,137,137,0
21,CRE077,133,210,3
22,SMP042,132,239,1
23,SMP185,129,175,1
24,SMP520,125,258,0
25,VES047,118,118,0
26,SMP007,109,172,0
27,SMP314,106,131,2
28,SMP179,104,172,0
29,OA-VUMa7,103,115,5
30,SMP175,103,181,5
31,SMP556,102,117,6
32,SMP311,102,163,2
33,CRE023,99,143,4
34,LAL114,98,121,1
35,SMP464,97,127,0
36,SMP339,95,155,2
37,SMP109,93,154,4
38,SMP516,93,183,0
39,SMP357,93,119,0
40,SMP389,91,121,5
41,SIP033,91,91,3
42,SMP006,89,125,0
43,SMP284,87,87,3
44,FS1B,84,179,12
45,AVLP316,83,83,2
46,CRE002,83,102,2
47,SMP013,82,82,5
48,SMP420,81,81,1
49,SMP014,80,81,4
50,CL167,79,84,1
51,IB111,79,79,3
52,SMP189,76,120,0
53,SMP048,74,120,10
54,SMP003,74,87,4
55,SMP162,74,131,19
56,IB047,73,73,8
57,LAL155,72,102,6
58,SMP317,71,127,5
59,SMP322,70,72,1
60,SMP549,70,142,6
61,PPL102,70,119,9
62,SMP564,70,108,0
63,PAL02,70,121,3
64,SMP123,68,122,6
65,CRE043_c,67,83,5
66,SMP555,66,69,5
67,SMP122,65,98,2
68,SMP512,65,144,4
69,CL236,65,111,4
70,SMP111,65,67,0
71,SMP005,64,75,2
72,SMP463,64,80,1
73,FS3,62,129,23
74,SMP312,61,72,6
75,AVLP075,61,115,1
76,SMP567,61,64,0
77,SMP422,60,134,1
78,SMP548,60,100,10
79,CRE017,59,59,4
80,SMP319,59,66,5
81,SMP559,58,88,0
82,SMP151,58,98,12
83,LAL129,58,110,8
84,LAL160,55,67,10
85,SMP362,54,90,1
86,SMP495,53,61,8
87,SMP333,53,68,3
88,LHPV10a1,52,53,3
89,SMP588,52,74,8
90,SMP315,51,56,5
91,SMP573,51,52,0
92,LAL069,50,50,8
93,LAL175,49,58,13
94,OA-VUMa6,49,59,7
95,SMP271,49,102,19
96,SMP245,48,72,10
97,SMP157,48,70,7
98,SMP316_b,47,48,3
99,SMP278,46,49,2
100,SMP385,46,94,12
101,LAL031,45,45,7
102,SMP331,44,46,8
103,VES075,44,46,14
104,SMP471,43,60,13
105,SMP408_d,43,62,11
106,SMP403,43,90,11
107,CRE035,43,75,0
108,CRE074,41,41,20
109,LAL100,41,46,47
110,SMP149,40,86,5
111,PS199,40,40,0
112,SMP568_c,40,64,6
113,OA-VPM3,40,60,92
114,MBON31,39,62,23
115,SMP563,38,69,0
116,LAL161,38,45,16
117,LHPD5d1,38,52,9
118,SMP240,37,59,2
119,SMP562,37,69,1
120,VES067,36,38,12
121,CL166,36,39,2
122,SMP040,35,45,12
123,SMP141,35,63,0
124,pC1a,34,49,18
125,LHPD2c5,34,37,5
126,SLP278,34,41,9
127,NPFL1-I,34,38,6
128,SMP143,33,65,9
129,CRE016,33,33,2
130,SMP578,33,38,6
131,CRE022,33,60,29
132,CL157,32,60,9
133,aIPg2,32,32,38
134,PPL108,32,44,47
135,VES079,32,33,9
136,FB5G,32,58,19
137,SMP589,32,55,6
138,SMP542,32,32,19
139,PS202,32,43,0
140,SMP327,31,37,4
141,SLP212,31,67,10
142,CRE046,31,35,9
143,IB072,30,30,12
144,SMP313,30,44,6
145,SMP004,30,36,10
146,PPL107,30,63,38
147,SMP316_a,29,31,6
148,LAL014,29,29,13
149,CL251,28,51,10
150,CL319,28,29,1
151,LHPV5e3,28,44,45
152,SMP181,27,69,5
153,IB073,27,39,6
154,SMP560,26,38,2
155,LAL011,26,26,16
156,aIPg1,26,31,42
157,IB022,26,35,8
158,LHPV10b1,26,26,21
159,SMP393,25,48,4
160,SMP160,25,57,8
161,FC2A,24,42,32
162,SMP360,24,32,7
163,SMP060,24,39,9
164,CRE108,23,23,21
165,SMP021,23,23,7
166,LC33a,23,23,60
167,SMP600,23,24,3
168,SMP424,23,26,10
169,LAL013,22,22,17
170,LAL141,22,22,47
171,SMP163,22,28,47
172,SMP361,21,27,10
173,SMP547,21,33,7
174,LHPD2c1,21,22,8
175,AVLP496,21,21,26
176,SMP391,21,43,10
177,SMP392,21,33,7
178,PLP122,21,33,18
179,IB049,20,20,19
180,IB074,20,23,8
181,LAL023,20,20,22
182,SMP580,20,32,3
183,SMP363,20,26,8
184,FB4P_a,20,25,43
185,SMP546,20,24,8
186,LAL030_a,19,23,27
187,SMP272,19,36,34
188,SIP061,19,25,12
189,pC1b,19,39,12
190,SLP401,19,30,0
191,LAL015,19,19,18
192,SMP178,19,41,24
193,SMP030,19,23,12
194,SMP032,19,24,8
195,CL318,19,19,16
196,SMP359_b,18,20,10
197,SMP406,18,19,27
198,SMP374,18,39,8
199,SMP273,18,30,29
200,LAL032,18,20,22
201,SMP418,17,18,14
202,SMP376,17,22,39
203,SMP568_b,17,23,10
204,LAL143,17,21,6
205,SMP594,17,26,18
206,SMP436,17,26,0
207,SLP390,16,18,21
208,SMP514,16,28,21
209,FC1C,16,25,70
210,SMP328,16,16,20
211,LHPD2c6,16,17,5
212,LPN,16,18,53
213,LAL115,16,16,22
214,SMP325,16,29,8
215,SMP557,16,16,14
216,SMP554,16,16,49
217,aIPg4,16,16,31
218,PLP161,16,16,34
219,SMP142,16,26,34
220,SMP255,15,33,23
221,SMP009,15,17,15
222,SMP384,15,29,77
223,SMP437,15,20,6
224,SMP427,15,16,38
225,LHAD1b2_a,15,21,34
226,VES060,15,16,3
227,SLP330,15,18,12
228,SMP280,15,15,13
229,CRE018,15,15,22
230,MBON04,15,26,59
231,CL301,15,15,4
232,PLP121,14,15,12
233,LAL010,14,20,43
234,LHAD1b6_a,14,14,31
235,CRE078,14,19,46
236,SMP474,14,21,11
237,SMP553,14,25,21
238,FB5Q,13,19,29
239,SMP382,13,15,28
240,SMP320,13,18,42
241,SMP180,13,23,7
242,FB5D,13,18,39
243,SMP248,13,30,22
244,SMP214,13,13,10
245,FB5O,13,18,31
246,CRE014,13,13,17
247,SMP366,13,16,8
248,SLP388,13,17,48
249,SMP015,13,13,23
250,VES059,13,13,15
251,SMP359_a,12,15,6
252,AVLP562,12,24,64
253,SMP145,12,25,40
254,pC1c,12,15,58
255,SMP381,12,14,63
256,CL278,12,18,1
257,SMP036,12,20,20
258,CRE005,12,22,78
259,SMP018_b,12,12,22
260,SIP060,12,14,11
261,SMP503,12,18,106
262,IB087,12,12,12
263,FB5E,12,16,40
264,SMP140,12,25,6
265,PLP162,12,12,48
266,FB5K,12,14,31
267,SMP394,12,33,14
268,SMP282,12,13,13
269,SMP198,12,17,24
270,LAL182,11,21,2
271,LAL066,11,11,18
272,SIP090,11,11,48
273,SMP507,11,25,18
274,CL160,11,12,31
275,CRE080,11,26,21
276,SMP047,11,13,16
277,SMP455,11,15,24
278,SMP019,11,12,36
279,DNp27,11,13,36
280,CL237,11,18,0
281,AVLP561,11,11,6
282,AVLP477,11,12,56
283,AOTU029,11,11,33
284,SMP238,10,10,77
285,SMP591,10,14,9
286,CRE004,10,11,68
287,SMP020,10,10,35
288,SMP039,10,17,14
289,SMP454,10,16,160
290,aIPg3,10,11,34
291,PAL03,10,24,17
292,SMP318,10,10,13
293,IB018,10,23,50
294,SMP133,10,25,43
295,SMP324,10,11,11
296,SMP359,10,30,2
297,FB5V,10,12,73
298,CRE039,9,20,40
299,CL212,9,9,16
300,SMP515,9,16,14
301,SMP200,9,9,32
302,M_spPN4t9,9,9,67
303,SMP321,9,11,18
304,SMP266,9,9,21
305,SMP358,9,9,41
306,CL029,9,11,95
307,SLP433,9,14,4
308,CRE045,9,12,52
309,AVLP495,9,9,34
310,SMP596,9,9,32
311,CRE083,9,15,65
312,SMP081,9,27,89
313,SMP377,9,10,57
314,SIP036,8,8,33
315,VES008,8,8,23
316,SMP210,8,8,49
317,MBON12,8,8,175
318,ATL003,8,12,23
319,SMP590,8,19,4
320,mALD1,8,8,263
321,SIP022,8,8,21
322,SIP023,8,8,15
323,SMP380,8,12,23
324,LAL044,8,8,20
325,CRE001,8,8,24
326,SMP286,8,21,15
327,FB5F,8,9,36
328,SMP108,8,15,125
329,SMP124,8,12,38
330,CRE061,8,8,26
331,SMP411,8,10,33
332,CL123,8,8,57
333,SMP400,8,9,26
334,IB016,8,8,20
335,CL196,8,8,23
